AreaID,Stops,Area,Population,Areas Average Frequencies,Median Income,STAI
111,70,3.191897245,2665,21.08214286,9850,5.611705806
112,29,1.158055102,2665,16.70689655,9850,5.65028762
113,29,0.756403876,9680,15.25,7550,4.63784502
114,51,0.873612505,5520,17.68137255,8380,5.036721614
115,42,0.421229933,4840,15.47619048,5080,3.403616061
121,10,0.424161676,3870,13.25,6740,4.344984231
122,24,0.407483877,3660,13.89583333,9810,5.686282181
123,34,0.269936006,4570,12.41911765,4790,3.274277954
124,43,0.286067927,4470,10.94186047,9000,5.364590242
125,42,0.232621274,4610,14.61309524,7230,4.677427796
131,33,0.534391326,2420,14.67424242,10550,5.976931636
132,47,0.257426804,3360,14.70212766,4820,3.446921609
133,66,0.513370784,4940,17.86742424,6350,4.124496615
134,55,0.348557487,3720,18.90454545,5050,3.536194947
135,90,1.459851148,0,17.88333333,5050,3.214080427
136,54,1.881473628,0,22.125,0,-1
211,24,0.579175828,5690,11.78125,8040,4.8864329
212,29,0.330083469,5540,11.38793103,8350,5.062334705
213,32,0.675489577,3190,16.7734375,6450,4.190826965
214,35,0.353549077,3010,10.35714286,11100,6.144692325
215,43,0.553995742,4630,12.54069767,5400,3.542652672
216,32,0.438484604,2660,13.1328125,6790,4.42580838
221,14,0.354381134,0,8.535714286,10170,5.69875308
222,13,0.288898799,2590,6.807692308,10170,5.814933216
223,29,0.471093464,5280,9,8020,4.878190111
224,26,0.557890624,2090,5.788461538,9870,5.651885395
225,20,0.15323494,3310,7.15,2630,1.723860839
226,27,0.247051508,3690,11.43518519,3290,2.249639454
231,44,0.380694408,4250,7.693181818,7800,4.796996057
232,45,0.405576813,2580,9.766666667,9000,5.375434524
233,63,0.724838596,4050,11.49603175,7420,4.60669071
234,45,0.555107994,300,13.2,0,-1
235,16,0.943857317,0,12.9375,0,-1
311,27,0.212100698,0,16.98148148,4960,3.15474065
312,30,0.167681379,2310,17.5,4960,4.095454446
313,36,0.116001026,2030,16.67361111,4510,4.328303575
314,42,0.223826586,4240,20.02380952,7200,4.784423362
315,43,0.178098448,3930,21.5,7950,5.25386934
316,35,0.07205237,1700,19.63571429,3100,5.124342376
317,34,0.10361301,1980,18.24264706,5000,4.863614822
321,32,0.088882415,1540,19.15625,4680,5.475515264
322,35,0.05808972,1570,18.27142857,3440,5.803242052
323,45,0.138036785,3860,20.82222222,6860,4.914584374
324,35,0.125201338,2180,20.67857143,5500,4.88111666
325,48,0.138472587,3720,22.80729167,5120,4.163532089
326,34,0.109502067,2730,20.67647059,8630,6.013128707
331,43,0.300538612,910,20.34302326,3670,2.200882426
332,27,0.069321649,910,20.19444444,3670,2.200882426
333,34,0.064093248,1420,20.83823529,5810,6.875771696
334,34,0.080205626,2170,21.26470588,6850,6.039363155
335,24,0.154721439,1590,23.10416667,5290,5.067018236
336,28,0.077074951,2020,21.11607143,3680,5.002757208
337,36,0.086063574,1750,23.99305556,4120,5.521104635
341,41,0.084239812,2030,24.48780488,4750,5.546412137
342,36,0.066064363,2050,24.04861111,5990,6.393481099
343,46,0.093809259,2050,25.7826087,2920,4.634191996
344,31,0.083445879,1970,24.63709677,0,6.034175102
345,45,0.125164094,2210,25.50555556,8030,6.083678029
346,48,0.097889106,2500,24.70833333,7160,5.888864645
347,49,0.128622599,2840,23.80102041,7180,5.428839739
348,40,0.050956111,1160,24.03125,0,8.516403211
349,37,0.08666166,1520,23.37162162,10870,7.708060972
411,33,0.970668913,4830,20.4469697,9560,5.526395578
412,21,0.333226163,4510,22.89285714,9260,5.557329334
413,27,0.273125208,3650,26.96296296,4010,3.152878801
414,24,0.218195595,2960,23.04166667,5630,4.272059861
415,31,0.223278506,3880,21.71774194,4380,3.348155708
421,31,0.126891319,2620,19.41935484,8160,5.711902638
422,29,0.142086597,3190,18.70689655,11220,6.534988169
423,45,0.316687917,3100,27.52222222,9470,5.801658391
424,38,0.171808,2760,28.99342105,8160,5.746999328
425,22,0.099485473,1050,16.97727273,12430,7.943124231
426,32,0.123822923,1050,20.2109375,12430,7.888184491
431,38,0.148635582,2780,22.28947368,7640,5.455212909
432,41,0.206391515,3760,23.23780488,9060,5.676032375
433,45,0.200912055,2860,21.82222222,5620,4.308147142
434,33,0.141798487,80,31.41666667,5620,3.572166422
435,30,0.121705235,770,36.88333333,6240,3.930813368
436,49,0.142137246,1880,34.82653061,6150,5.895369274
437,45,0.549398707,1460,34.81666667,0,-1
511,27,0.180227638,1260,21.36111111,5210,5.034939851
512,36,0.097664499,2100,25.42361111,3460,4.721137177
513,40,0.101146204,2230,29.13125,5660,5.703573683
514,46,0.118717443,2730,25.04891304,4710,4.539428392
515,43,0.108975274,3460,24.81976744,5190,4.577184568
516,45,0.129729218,3980,25.98888889,5280,4.355106553
517,40,0.130391425,3210,21.03125,5840,4.626864857
521,34,0.120630793,1660,28.83823529,4250,5.362114948
522,36,0.134153467,1780,19.93055556,5980,5.203307271
523,50,0.136556692,1390,25.615,3910,5.091293062
531,39,0.370541358,0,19.10897436,5600,3.56008926
532,29,0.214961375,580,18.84482759,7870,4.752872381
533,65,0.315890785,3410,22.69230769,5600,3.984754636
541,50,0.091814973,1170,27.46,4490,6.765538539
542,46,0.074192096,1050,27.98913043,8410,8.533830132
543,48,0.081149301,1430,26.47916667,3920,6.298775256
544,42,0.074208978,1980,27.56547619,5830,6.453353511
551,41,0.042820999,453.333333,26.65853659,5650,3.590219426
552,48,0.139620434,950,23.79166667,7000,4.333520354
553,68,0.127794584,453.333333,26.66544118,5650,3.590219426
554,43,0.048647808,990,24.10465116,6430,4.035044658
555,50,0.103820237,2040,26.305,5510,5.582516902
556,58,0.080641147,453.333333,25.41810345,5650,3.590219426
611,74,0.245645345,2820,25.53040541,4640,3.755598547
612,49,0.244520449,1440,29.82653061,5270,4.918109663
613,63,0.472735524,0,34.98015873,0,-1
621,51,0.225108526,10,36.73039216,0,-1
622,40,0.230554261,390,36.18125,4080,2.527333902
623,32,0.245000959,390,34.765625,4080,2.527333902
624,54,0.246634994,390,28.76851852,0,-1
625,38,0.178844397,390,26.59210526,0,-1
711,24,0.203373277,1670,21.64583333,6260,5.029647302
712,31,0.235386283,2240,18.14516129,3990,3.308137263
713,31,0.156981436,0,18.82258065,3990,2.457746329
714,32,0.273354713,10,15.984375,0,-1
715,33,0.307259167,1200,18.89393939,7420,5.330498139
721,23,0.285848639,1030,11.31521739,9550,5.959054193
722,21,0.325755322,0,2.94047619,5820,3.691126059
723,24,0.199729212,2370,5.5625,5820,3.926110978
724,23,0.104467425,1120,6.510869565,5820,4.706122314
725,23,0.414566706,2290,13.04347826,3370,2.348160987
731,30,0.190473079,2490,17.825,4140,3.47225427
732,36,0.230524651,3300,15.23611111,9490,5.706656597
733,30,0.237661938,1350,17.675,15820,7.860239019
734,30,0.229903742,3010,17.70833333,4560,3.472234869
735,30,0.183126829,2640,18,3690,3.177185686
736,21,0.264118216,3650,22.73809524,5020,3.706364995
741,30,0.24460452,1410,21.94166667,6670,5.201243247
742,25,0.18954676,1410,12.46,6670,4.947275241
743,33,0.23399121,3330,17.65909091,3100,2.382024577
744,45,1.013059234,4480,19.49444444,3580,2.250564752
745,33,0.430239764,3500,19.89393939,3820,2.680069275
746,26,0.252651726,3810,20.75,10660,6.13603786
747,20,0.136926651,2850,22.375,3750,3.654577743
811,51,0.165976226,1460,22.66176471,3060,3.983285434
812,35,0.11906767,4940,19.12857143,6150,4.477315979
813,41,0.068074764,1850,22.72560976,0,5.738308878
814,124,0.226811885,3000,16.14112903,1880,1.324997777
815,130,0.231819036,500,17.42307692,4670,2.957824945
816,106,0.207465102,620,15.02122642,1980,0.514574403
821,112,0.178768894,660,14.32366071,4510,2.845234198
822,111,0.27022069,2930,13.60810811,3500,2.544114447
823,91,0.351145454,1500,11,2950,2.210279991
824,31,0.201888026,2450,15.84677419,5300,4.030703609
825,30,0.067016947,0,17.525,3500,2.057981859
826,40,0.122133366,820,20.23125,4710,2.985522391
831,44,0.408513706,0,18.02840909,5060,3.220623964
832,36,0.353780746,3850,18.42361111,5060,3.519813774
833,28,0.448313632,4870,19.72321429,4360,2.962246789
911,18,0.139811946,4420,19.11111111,6310,4.52800133
912,31,0.27559861,3540,13.37096774,5360,3.702824193
913,47,0.141260949,10,29.78191489,0,-1
914,43,0.326779235,840,25.79651163,0,-1
915,34,0.206431956,3210,14.94852941,7400,4.897483021
916,20,0.165356883,1860,12.925,3790,3.350551192
921,27,0.370393526,4450,19.62962963,5620,3.816658527
922,22,0.327197412,2010,17.06818182,3170,2.526477449
923,35,0.277234305,440,16.33571429,3950,2.426456966
924,25,0.125024643,1250,13.2,3600,4.10386846
925,42,0.241406431,3300,14.85714286,3540,2.613252654
926,43,0.24415322,3230,17.04651163,6260,4.342116108
927,41,0.400320529,4860,18.67073171,4530,3.091940167
928,38,0.232633481,0,25.25,3890,2.379096139
929,44,0.327529566,4120,22.3125,3890,2.815953512
931,24,0.136560665,1710,19.02083333,1180,2.490792067
932,30,0.137564962,710,12.975,0,-1
933,30,0.231417086,3610,14.29166667,3370,2.44143421
934,19,0.124280603,1880,15.65789474,3370,3.630223775
935,23,0.191686702,1820,22.80434783,1590,2.370505325
936,20,0.780148627,2750,18.8375,6550,4.260800603
937,23,1.163971254,5160,18.77173913,5490,3.559760272
941,32,0.253346829,3150,14.40625,3510,2.574780285
942,34,0.239869342,5160,13.21323529,4150,2.855105274
943,30,0.206704707,2950,15.68333333,5360,3.942305886
944,21,0.124091478,3670,18.39285714,7830,5.342470479
945,25,0.14902055,2680,14.66,5400,4.171389454
946,21,0.155041177,3410,16.96428571,5080,3.910627281
947,17,0.185019269,4850,19.32352941,5540,3.960772078
